`Date,Text,Score,Username
2025-04-05 04:37:35,"waktu gua bermain sesuai kemampuan gua dan gua juga udah berusaha perkara sinyal gua dilaporin dibilang afk dikurangin gk nanggung""12kredit score waktu ada yg afk beneran tim gua malah cuman di kurangin 4-8kredit score aja kan ajg udah bikin laporan ke nonton lewat ulasan di game sama aja percuma bikin laporan gua cuman mau main yg bener ajg kalo emang ngeleg yg sistimnya harus tau juga jgn asal kurangin kredit score co😔kecewa sih kecewa banget",2,Aditya Diakh sanjaya
2025-04-05 04:36:23,menegangkan dan menarik,5,Alesha Adivaputri
2025-04-05 04:36:18,tolong di berbagai jaringan di game montoon masa jaringan full sinyal full tapi pas di game legg parah merah terus,1,Uyi Muhyi
2025-04-05 04:35:51,"udah lah gw cape, wkwk udah hampir setengah gila ni main. Noh bintang 1",5,Neil Rafif
2025-04-05 04:35:45,game haram gajelas bet ngasi timnya,1,Rio Bagus
2025-04-05 04:35:40,Game penuh emosi 5 vs 5 apanya yang ada 1 vs 9,1,Dimas Uyee
2025-04-05 04:35:07,game nya bagus seru dan ramah menyenangkan dan menghibur menghilangkan setres,1,adreey rizkyax
2025-04-05 04:34:58,game nya bagus . seru banyak player dark sistem yg bikin ngakak.... bikin jengkel dan bikin males buka apk nya lagi 😅😅😅😅😅,5,bagus mules
2025-04-05 04:34:36,game kaga adil kalo tim gua poke minimal tim musuh juga lah lol,1,Ahmad Fauzi
2025-04-05 04:33:47,Bagus sih tapi kenapa setiap abis ngelag itu harus nge replay gerakan sebelum nya sampe akhir mach habis itu di anggap afk padahal ikut main cuman sinyal nya aja yg nge lag itupun pas main ngga bisa di gerakin,1,Krisna Dimas
2025-04-05 04:33:19,gamenya bagus banget asik karena ada akun yang lama,5,Prince Airgio
2025-04-05 04:32:56,lumayan sih buat seru seruwan tapi mohon di hilang kan Dark syistem di teman karna saya saja baru mainin ini game baru main selesai itu aku menag tapi teman temanku semua nya dark syistem apa ini saya sendiri yang cetak 26 kill teman ku tidak ada malahn meyusahkan itu saja mohon secepatnya untuk di perbaiki🙏🙏🙏🙏🤗🤗🤗,4,Bill Shop
2025-04-05 04:32:11,banyak drak sistem udah mah ngelag setiap main koneksi suka nggk stabil parah,1,Yunani Edo
2025-04-05 04:31:49,sangat bagus game ini membuat saya bermain setiap hari!,5,Arsya Hariadi
2025-04-05 04:31:45,kreeeeeeeeennn x10000,5,Yusra Tarpiji
2025-04-05 04:31:29,gamenya banyak hewan setiap reset season pasti ada hewan nya,1,andika setiawan
2025-04-05 04:31:08,asik cuma kalau main solo ketemu dark sistem Mulu hehe🙏🙏🙏🙏😃😃😃,5,Rosyida Kholil
2025-04-05 04:31:04,dengan ML jadi tambah saudara,5,Setiyo Pramono
2025-04-05 04:28:43,monton kasih gw sekin,5,Hasan Maulana
2025-04-05 04:28:40,aplikasi yang keren,5,Sarman Saja
2025-04-05 04:28:17,bagus 😁👍,5,ILOVEUIHATEU
2025-04-05 04:28:08,joss om,5,Aulia Azzahra
2025-04-05 04:27:35,"bagus tapi tiap main rank pasti tiba² ada yg kuat tapi kalo main clasic gk itu knp y?,juga hero nya mahal² bgt⚠️",4,Pengguna Google
2025-04-05 04:26:13,to many bug and cheater,1,raffa pandu
2025-04-05 04:26:03,ok,5,nha rizky
2025-04-05 04:25:25,seru,5,Nenek Baniah
2025-04-05 04:25:13,sangat menyenangkan tapi tolong tidak di beri tim musuh yg bot dan mudah untuk dilawan dan beri saya tim yg jago kalo bisa ketemu dengan Fauzan gaming di tim saya,5,Fajri Al fath
2025-04-05 04:24:33,karna gem ini sangat bagus,5,Helmi Faisal
2025-04-05 04:22:25,seru sekali!!!,5,Zeta Aqil
2025-04-05 04:21:04,banya orang beban,1,Sultan Ismayanto Syah Alam
2025-04-05 04:20:57,"game anehhh,bosen main game ini dikasih losestreak terus",5,Azam Kurniawan
2025-04-05 04:20:03,game nya bagus banget apa lagi hero nya aku paling suka lukas bisa jadi harimau gitu aja sih mantap moonton,5,Kenzo Raditya
2025-04-05 04:18:27,gemes plagiat honor of king lain kali jangan plagiat ya,1,Muhammad Surya
2025-04-05 04:17:55,banyak player menggunakan RW yg dapat mengganggu keseimbangan game mohon untuk di tindak lanjuti,1,Akhmad Rifai
